No,Trans Ref.No.,วันที่,ธนาคารผู้รับโอน,จำนวนเงิน,ฝ่าย/สาขา,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,GHB/BKD 0074/2023,09-01-2566,KBANK,105575.34,งพ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,GHB/BKD 0075/2023,09-01-2566,KBANK,70492684.93,งพ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,GHB/BKD 0076/2023,09-01-2566,KBANK,904931.51,งพ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,GHB/BKD 0077/2023,09-01-2566,SCB,50452465.75,งพ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,GHB/BKD 0078/2023,09-01-2566,BBL,13441179.20,แม่สอด,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,GHB/BKD 0079/2023,09-01-2566,SCB,3000000.00,ลาดพร้าว,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,GHB/BKD 0080/2023,09-01-2566,BAY,64000000.00,สน.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,GHB/BKD 0081/2023,09-01-2566,SCB,5000000.00,บ่อวิน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,GHB/BKD 0082/2023,10-01-2566,KBANK,151050000.00,งพ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,GHB/BKD 0083/2023,10-01-2566,BBL,742990.66,บช.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,GHB/BKD 0084/2023,10-01-2566,KBANK,323344.15,บช.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,GHB/BKD 0085/2023,10-01-2566,KTB,2500000.00,สน.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,GHB/BKD 0086/2023,10-01-2566,KTB,1000000000.00,สน.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,GHB/BKD 0087/2023,10-01-2566,SCB,733084.11,บช.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,GHB/BKD 0088/2023,10-01-2566,CIMBT,1000000.00,แจ้งวัฒนะ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,GHB/BKD 0089/2023,11-01-2566,KTB,50336.67,สาธารณูปโภค,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,GHB/BKD 0090/2023,11-01-2566,ttb,15000000.00,งพ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
